plot_id,ph,om,potassium,phos
B42-p2,5.6,2.4,119,37
B42-p11,6.5,2.2,111,41
B42-p16,5.7,2.7,126,48
B42-p20,5.6,2.6,130,58
B42-p28,5.5,2.4,118,50
B42-p7,6.3,2.5,109,46
B42-p10,5.6,2.4,102,42
B42-p18,6.3,3,156,101
B42-p21,6.3,2.9,131,82
B42-p31,5.3,2.4,96,41
B42-p6,5.5,2.3,173,68
B42-p13,5.7,2.5,180,49
B42-p15,5.6,2.5,149,44
B42-p22,5.7,2.5,181,50
B42-p26,5.9,2.6,167,53
B42-p5,5.9,2.6,206,92
B42-p12,6.1,2.3,136,40
B42-p14,5.7,2.6,119,39
B42-p34,6.3,2.2,139,33
B42-p27,6.3,2.1,149,33
St-1no,6.7,3.8,269,53
St-3no,6.7,3.6,213,33
St-5no,6.3,2.8,296,36
St-7no,6.8,3,548,69
St-2cc,6.1,4.3,362,85
St-4cc,6.1,3.8,171,31
St-6cc,5.7,3.9,172,48
St-8cc,7,4.1,168,23
F-2no,5.4,1.8,98,14
F-4no,5,3.3,70,18
F-6no,4.7,2.2,67,15
F-7no,5.6,4.6,209,56
F-1cc,5.1,1.8,80,12
F-3cc,5.1,1.8,80,11
F-5cc,5.3,3,109,12
F-8cc,6.2,4.4,145,31
