"Mollic epipedon"|0|0|0|35|51|60|35|51|60|"20456969"|"10816652"
"Argillic horizon"|35|51|85|90|117|152|55|66|67|"20456969"|"10816653"
"Mollic epipedon"|0|0|0|35|46|60|35|46|60|"20456970"|"10816654"
"Cambic horizon"|35|46|60|85|107|140|25|61|105|"20456970"|"10816655"
"Mollic epipedon"|0|0|0|25|25|60|25|25|60|"20456971"|"10816656"
"Albic horizon"|25|25|31|25|43|56|15|18|31|"20456971"|"10816657"
"Argillic horizon"|25|43|51|200|200|200|149|157|175|"20456971"|"10816658"
"Abrupt textural change"|25|43|51|50|71|81|25|28|30|"20456971"|"10816659"
"Aquic conditions"|25|43|51|200|200|200|149|157|175|"20456971"|"10816660"
"Mollic epipedon"|0|0|0|36|46|50|36|46|50|"20456853"|"10816434"
"Argillic horizon"|46|61|65|122|155|192|76|94|127|"20456853"|"10816435"
"Mollic epipedon"|0|0|0|35|51|60|35|51|60|"20456854"|"10816436"
"Argillic horizon"|35|51|85|90|117|152|55|66|67|"20456854"|"10816437"
