"CL"|Yes|"60064079"|"112466679"
"CH"|Yes|"60064078"|"112466678"
"MH"|Yes|"60064077"|"112466677"
"CL"|Yes|"60064192"|"112466806"
"CL"|Yes|"60064191"|"112466805"
"CH"|Yes|"60064190"|"112466804"
"CH"|Yes|"60064189"|"112466803"
"CL"|Yes|"60064188"|"112466802"
"CL"|Yes|"60064187"|"112466801"
"CL"|No |"60064186"|"112466799"
"CH"|Yes|"60064186"|"112466800"
"CH"|No |"60064185"|"112466797"
"CL"|Yes|"60064185"|"112466798"
"CL"|Yes|"60064184"|"112466796"
"CH"|Yes|"60064183"|"112466795"
"CL"|No |"60064182"|"112466793"
"CH"|Yes|"60064182"|"112466794"
"CH"|Yes|"60064181"|"112466792"
"CL"|Yes|"60064180"|"112466791"
"CL"|Yes|"60064179"|"112466790"
"MH"|No |"60064178"|"112466788"
"CL"|Yes|"60064178"|"112466789"
"CH"|Yes|"60064177"|"112466786"
"CL"|No |"60064177"|"112466787"
"CH"|No |"60064176"|"112466784"
"CL"|Yes|"60064176"|"112466785"
"CL"|Yes|"60064175"|"112466783"
"CL"|Yes|"60064174"|"112466782"
"CL"|Yes|"60064173"|"112466780"
"CH"|No |"60064173"|"112466781"
"CH"|No |"60064172"|"112466777"
"MH"|No |"60064172"|"112466778"
"CL"|Yes|"60064172"|"112466779"
"CH"|Yes|"60064171"|"112466775"
"CL"|No |"60064171"|"112466776"
"CH"|Yes|"60064878"|"112467894"
"CL"|No |"60064878"|"112467895"
"CL"|Yes|"60064877"|"112467892"
"CH"|No |"60064877"|"112467893"
"CH"|Yes|"60064876"|"112467890"
"CL"|No |"60064876"|"112467891"
"CH"|Yes|"60064875"|"112467888"
"CL"|No |"60064875"|"112467889"
"CL"|Yes|"60064874"|"112467887"
"CL"|Yes|"60064873"|"112467886"
"CL"|Yes|"60064872"|"112467885"
"CL"|No |"60064871"|"112467883"
"MH"|Yes|"60064871"|"112467884"
"ML"|No |"60064870"|"112467881"
"MH"|Yes|"60064870"|"112467882"
"CL"|Yes|"60064869"|"112467880"
"CL"|Yes|"60064868"|"112467879"
"CL"|Yes|"60064867"|"112467878"
"CL"|Yes|"60064866"|"112467877"
"CL"|Yes|"60064865"|"112467875"
"CH"|No |"60064865"|"112467876"
"CL"|Yes|"60064864"|"112467874"
"CL"|Yes|"60064863"|"112467872"
"CH"|No |"60064863"|"112467873"
"CL"|Yes|"60064862"|"112467871"
"CH"|Yes|"60064861"|"112467870"
"CH"|Yes|"60064860"|"112467868"
"CL"|No |"60064860"|"112467869"
"CH"|Yes|"60064859"|"112467867"
"CL"|Yes|"60064858"|"112467866"
"CL"|Yes|"60064857"|"112467865"
"CH"|Yes|"60064856"|"112467863"
"CL"|No |"60064856"|"112467864"
"CH"|No |"60064855"|"112467861"
"CL"|Yes|"60064855"|"112467862"
